FID,Province,WeekEnding,TotalCases,WeeklyCases,TotalDeaths,WeeklyDeaths,TotalHospitalized,WeeklyHospitalized,TotalICU,WeeklyICU
826,ON,2021/07/09 03:59:59+00,546804,1423,9237,41,189,10,202,-50
827,BC,2021/04/02 03:59:59+00,100880,5203,1463,14,296,2,79,-2
828,NU,2021/05/14 03:59:59+00,618,65,4,0,,,,
829,PE,2021/07/30 03:59:59+00,208,0,0,0,0,0,0,0
830,MB,2021/03/05 05:00:00+00,32104,383,904,15,55,-12,9,-1
831,NB,2021/06/18 03:59:59+00,2311,27,45,1,6,2,2,0
832,PE,2021/07/09 03:59:59+00,208,1,0,0,0,0,0,0
833,MB,2021/04/02 03:59:59+00,34174,364,937,5,65,7,12,0
834,CA,2021/05/14 03:59:59+00,1318405,45230,24869,340,3639,-332,1326,-71
835,QC,2021/07/30 03:59:59+00,377297,767,11241,2,60,-7,17,-4
836,NB,2021/03/05 05:00:00+00,1447,19,28,2,3,2,2,1
837,NL,2021/06/18 03:59:59+00,1383,15,7,0,2,2,,
838,QC,2021/07/09 03:59:59+00,375716,697,11230,13,96,-14,22,-12
839,NB,2021/04/02 03:59:59+00,1632,73,30,0,10,6,5,5
840,AB,2021/05/21 03:59:59+00,223011,6385,2164,27,638,-75,177,0
841,SK,2021/07/30 03:59:59+00,49940,332,578,1,46,-18,12,2
842,NL,2021/03/05 05:00:00+00,1003,26,6,1,6,-5,,
843,NS,2021/06/18 03:59:59+00,5784,55,90,1,6,-4,3,-3
844,SK,2021/07/09 03:59:59+00,49198,316,571,3,61,4,10,-2
845,NL,2021/04/02 03:59:59+00,1020,5,6,0,0,0,,
846,BC,2021/05/21 03:59:59+00,141373,3069,1667,33,319,-68,107,-34
847,YT,2021/07/30 03:59:59+00,596,45,7,1,,,,
848,NS,2021/03/05 05:00:00+00,1651,17,65,0,3,2,1,0
849,NT,2021/06/18 03:59:59+00,128,0,0,0,,,,
850,YT,2021/07/09 03:59:59+00,461,73,5,0,,,,
851,NS,2021/04/02 03:59:59+00,1728,24,66,0,1,1,0,0
852,MB,2021/05/21 03:59:59+00,47504,3315,1022,20,236,57,56,6
853,CA,2021/07/30 03:59:59+00,1430483,4772,26592,53,388,-40,191,-27
854,NT,2021/03/05 05:00:00+00,47,0,0,0,,,,
855,NU,2021/06/18 03:59:59+00,657,3,4,0,,,,
856,ON,2021/06/18 03:59:59+00,541525,2874,8994,59,378,-111,352,-88
857,PE,2021/06/18 03:59:59+00,206,0,0,0,0,0,0,0
858,QC,2021/06/18 03:59:59+00,373658,1002,11180,13,175,-69,39,-20
859,SK,2021/06/18 03:59:59+00,48327,563,562,8,81,-23,10,-7
860,YT,2021/06/18 03:59:59+00,145,49,3,1,,,,
861,CA,2021/06/18 03:59:59+00,1407269,7553,26023,137,1156,-350,549,-144
862,AB,2021/06/25 03:59:59+00,231741,609,2293,10,190,-47,50,-8
863,BC,2021/06/25 03:59:59+00,147418,516,1749,9,108,-20,37,-11
864,MB,2021/06/25 03:59:59+00,55777,679,1135,20,98,-45,28,-9
865,NB,2021/06/25 03:59:59+00,2323,12,45,0,4,-2,1,-1
866,NL,2021/06/25 03:59:59+00,1384,1,7,0,1,-1,,
867,NS,2021/06/25 03:59:59+00,5814,30,92,2,2,-4,0,-3
868,NT,2021/06/25 03:59:59+00,128,0,0,0,,,,
869,NU,2021/06/25 03:59:59+00,657,0,4,0,,,,
870,ON,2021/06/25 03:59:59+00,543571,2046,9101,107,275,-103,284,-68
871,PE,2021/06/25 03:59:59+00,206,0,0,0,0,0,0,0
872,QC,2021/06/25 03:59:59+00,374406,748,11202,22,135,-40,40,1
873,SK,2021/06/25 03:59:59+00,48646,319,565,3,78,-3,12,2
874,YT,2021/06/25 03:59:59+00,242,97,4,1,,,,
875,CA,2021/06/25 03:59:59+00,1412326,5057,26197,174,891,-265,452,-97
876,AB,2021/07/02 03:59:59+00,232097,356,2301,8,144,-46,33,-17
877,BC,2021/07/02 03:59:59+00,147705,287,1756,7,99,-9,30,-7
878,MB,2021/07/02 03:59:59+00,56306,529,1147,12,66,-32,17,-11
879,NB,2021/07/02 03:59:59+00,2336,13,45,0,5,1,0,-1
880,NL,2021/07/02 03:59:59+00,1387,3,7,0,0,-1,,
881,NS,2021/07/02 03:59:59+00,5842,28,92,0,3,1,0,0
882,NT,2021/07/02 03:59:59+00,128,0,0,0,,,,
883,NU,2021/07/02 03:59:59+00,657,0,4,0,,,,
884,ON,2021/07/02 03:59:59+00,545381,1810,9196,95,179,-96,252,-32
885,PE,2021/07/02 03:59:59+00,207,1,0,0,0,0,0,0
886,QC,2021/07/02 03:59:59+00,375019,613,11217,15,110,-25,34,-6
887,SK,2021/07/02 03:59:59+00,48882,236,568,3,57,-21,12,0
888,YT,2021/07/02 03:59:59+00,388,146,5,1,,,,
889,CA,2021/07/02 03:59:59+00,1416348,4022,26338,141,663,-228,378,-74
890,CA,2021/07/09 03:59:59+00,1419969,3621,26419,81,601,-62,303,-75
891,NT,2021/04/02 03:59:59+00,47,0,0,0,,,,
892,NB,2021/05/21 03:59:59+00,2113,68,43,2,7,-3,3,0
893,NU,2021/03/05 05:00:00+00,373,17,1,0,,,,
894,YT,2021/07/16 03:59:59+00,502,41,6,1,,,,
895,AB,2021/08/06 03:59:59+00,236010,1715,2325,-3,113,23,25,6
896,NU,2021/04/02 03:59:59+00,395,0,4,0,,,,
897,NL,2021/05/21 03:59:59+00,1226,47,6,0,4,4,,
898,ON,2021/03/05 05:00:00+00,306007,7438,7046,102,643,-40,280,-4
899,SK,2021/07/16 03:59:59+00,49362,164,575,4,53,-8,9,-1
900,BC,2021/08/06 03:59:59+00,151839,1950,1772,1,52,5,24,8
901,ON,2021/04/02 03:59:59+00,352460,14221,7389,97,1116,203,433,74
902,NS,2021/05/21 03:59:59+00,5149,625,76,4,84,-5,21,0
903,PE,2021/03/05 05:00:00+00,139,19,0,0,0,0,0,0
904,QC,2021/07/16 03:59:59+00,376192,476,11235,5,84,-12,25,3
905,MB,2021/08/06 03:59:59+00,57764,171,1184,6,33,-1,4,-5
906,PE,2021/04/02 03:59:59+00,159,7,0,0,0,0,0,0
907,NT,2021/05/21 03:59:59+00,127,6,0,0,,,,
908,QC,2021/03/05 05:00:00+00,291175,5030,10455,83,617,-3,111,-8
909,PE,2021/07/16 03:59:59+00,208,0,0,0,0,0,0,0
910,NB,2021/08/06 03:59:59+00,2414,49,46,0,0,0,0,0
911,QC,2021/04/02 03:59:59+00,313676,7291,10681,44,503,22,121,6
912,NU,2021/05/21 03:59:59+00,637,19,4,0,,,,
913,SK,2021/03/05 05:00:00+00,29432,1088,393,13,138,-17,20,4
914,ON,2021/07/16 03:59:59+00,547864,1060,9285,48,159,-30,158,-44
915,NL,2021/08/06 03:59:59+00,1443,6,7,0,2,0,,
916,SK,2021/04/02 03:59:59+00,34043,1484,437,7,193,38,37,13
917,ON,2021/05/21 03:59:59+00,518980,14447,8579,148,1265,-317,715,-62
918,YT,2021/03/05 05:00:00+00,72,0,1,0,,,,
919,NU,2021/07/16 03:59:59+00,657,0,4,0,,,,
920,NS,2021/08/06 03:59:59+00,5900,13,93,0,1,0,1,0
921,YT,2021/04/02 03:59:59+00,74,1,1,0,,,,
922,PE,2021/05/21 03:59:59+00,200,10,0,0,0,0,0,0
923,CA,2021/03/05 05:00:00+00,881766,20358,22192,277,1963,-76,533,-16
924,NT,2021/07/16 03:59:59+00,128,0,0,0,,,,
925,NT,2021/08/06 03:59:59+00,130,2,0,0,,,,
926,CA,2021/04/02 03:59:59+00,989508,32852,23008,182,2476,287,746,96
927,QC,2021/05/21 03:59:59+00,366394,4574,11075,50,437,-93,106,-17
928,AB,2021/03/12 05:00:00+00,137562,2366,1935,22,257,14,38,-6
929,NS,2021/07/16 03:59:59+00,5870,5,92,0,2,0,1,0
930,NU,2021/08/06 03:59:59+00,657,0,4,0,,,,
931,AB,2021/04/09 03:59:59+00,158426,9219,2007,13,333,41,83,24
932,SK,2021/05/21 03:59:59+00,45310,1151,524,9,132,-17,25,-9
933,BC,2021/03/12 05:00:00+00,86867,3760,1397,17,255,0,67,1
934,NL,2021/07/16 03:59:59+00,1433,31,7,0,1,1,,
935,ON,2021/08/06 03:59:59+00,551678,1500,9392,53,114,6,110,-7
936,BC,2021/04/09 03:59:59+00,109540,8660,1495,32,332,36,102,23
937,YT,2021/05/21 03:59:59+00,84,0,2,0,,,,
938,MB,2021/03/12 05:00:00+00,32607,503,912,8,54,-1,10,1
939,NB,2021/07/16 03:59:59+00,2345,9,46,0,0,-2,0,0
940,PE,2021/08/06 03:59:59+00,212,4,0,0,0,0,0,0
941,MB,2021/04/09 03:59:59+00,34969,795,949,12,56,-9,14,2
942,CA,2021/05/21 03:59:59+00,1352121,33716,25162,293,3122,-517,1210,-116
943,NB,2021/03/12 05:00:00+00,1465,18,30,2,1,-2,0,-2
944,MB,2021/07/16 03:59:59+00,57065,326,1164,4,37,-15,9,-5
945,QC,2021/08/06 03:59:59+00,378680,1383,11241,0,57,-3,15,-2
946,NB,2021/04/09 03:59:59+00,1694,62,32,2,19,9,13,8
947,AB,2021/05/28 03:59:59+00,226449,3438,2206,42,517,-121,147,-30
948,NL,2021/03/12 05:00:00+00,1012,9,6,0,3,-3,,
949,BC,2021/07/16 03:59:59+00,148331,300,1761,1,60,-13,12,-7
950,SK,2021/08/06 03:59:59+00,50338,398,582,4,57,11,12,0
951,NL,2021/04/09 03:59:59+00,1025,5,6,0,0,0,,
952,BC,2021/05/28 03:59:59+00,143581,2208,1692,25,292,-27,79,-28
953,NS,2021/03/12 05:00:00+00,1666,15,65,0,1,-2,0,-1
954,AB,2021/07/16 03:59:59+00,232676,265,2314,7,110,-16,28,-7
955,YT,2021/08/06 03:59:59+00,624,28,8,1,,,,
956,NS,2021/04/09 03:59:59+00,1756,28,66,0,1,0,0,0
957,MB,2021/05/28 03:59:59+00,50144,2640,1042,20,238,2,49,-7
958,NT,2021/03/12 05:00:00+00,47,0,0,0,,,,
959,CA,2021/07/16 03:59:59+00,1422646,2677,26489,70,506,-95,242,-61
960,MB,2021/08/27 03:59:59+00,58506,330,1189,1,19,6,5,1
961,CA,2021/08/06 03:59:59+00,1437702,7219,26654,62,429,41,191,0
962,AB,2021/08/13 03:59:59+00,238939,2929,2332,7,152,39,37,12
963,BC,2021/08/13 03:59:59+00,155079,3240,1779,7,82,30,39,15
964,MB,2021/08/13 03:59:59+00,57972,208,1185,1,14,-19,2,-2
965,NB,2021/08/13 03:59:59+00,2490,76,46,0,0,0,0,0
966,NL,2021/08/13 03:59:59+00,1447,4,7,0,1,-1,,
967,NS,2021/08/13 03:59:59+00,5920,20,93,0,1,0,1,0
968,NT,2021/08/13 03:59:59+00,131,1,0,0,,,,
969,NU,2021/08/13 03:59:59+00,657,0,4,0,,,,
970,ON,2021/08/13 03:59:59+00,554472,2794,9416,24,123,9,111,1
971,PE,2021/08/13 03:59:59+00,218,6,0,0,0,0,0,0
972,QC,2021/08/13 03:59:59+00,380833,2153,11242,1,80,23,27,12
973,SK,2021/08/13 03:59:59+00,51034,696,586,4,73,16,9,-3
974,YT,2021/08/13 03:59:59+00,645,21,8,0,,,,
975,CA,2021/08/13 03:59:59+00,1449850,12148,26698,44,526,97,226,35
976,AB,2021/08/20 03:59:59+00,242997,4058,2343,11,221,69,48,11
977,BC,2021/08/20 03:59:59+00,158919,3840,1785,6,129,47,59,20
978,MB,2021/08/20 03:59:59+00,58176,204,1188,3,13,-1,4,2
979,NB,2021/08/20 03:59:59+00,2614,124,46,0,1,1,0,0
980,NL,2021/08/20 03:59:59+00,1458,11,7,0,0,-1,,
981,NS,2021/08/20 03:59:59+00,5956,36,93,0,1,0,1,0
982,NT,2021/08/20 03:59:59+00,328,197,0,0,,,,
983,NU,2021/08/20 03:59:59+00,657,0,4,0,,,,
984,ON,2021/08/20 03:59:59+00,558101,3629,9450,34,197,74,135,24
985,PE,2021/08/20 03:59:59+00,221,3,0,0,0,0,0,0
986,QC,2021/08/20 03:59:59+00,383718,2885,11279,37,77,-3,21,-6
987,SK,2021/08/20 03:59:59+00,52065,1031,586,0,84,11,15,6
988,YT,2021/08/20 03:59:59+00,674,29,8,0,,,,
989,CA,2021/08/20 03:59:59+00,1465897,16047,26789,91,723,197,283,57
990,AB,2021/08/27 03:59:59+00,248954,5957,2364,21,336,115,74,26
991,BC,2021/08/27 03:59:59+00,163560,4641,1807,22,159,30,84,25
992,NB,2021/08/27 03:59:59+00,2721,107,46,0,3,2,0,0
993,NT,2021/04/09 03:59:59+00,49,2,0,0,,,,
994,AB,2021/07/23 03:59:59+00,233160,484,2322,8,84,-26,26,-2
995,NB,2021/05/28 03:59:59+00,2181,68,43,0,7,0,3,0
996,NL,2021/08/27 03:59:59+00,1469,11,7,0,0,0,,
997,NU,2021/04/09 03:59:59+00,395,0,4,0,,,,
998,BC,2021/07/23 03:59:59+00,148842,511,1767,6,46,-14,17,5
999,NL,2021/05/28 03:59:59+00,1293,67,6,0,5,1,,
1000,NS,2021/08/27 03:59:59+00,5999,43,94,1,0,-1,0,-1
1001,ON,2021/04/09 03:59:59+00,378339,25879,7512,123,1492,376,519,86
1002,MB,2021/07/23 03:59:59+00,57359,294,1170,6,28,-9,8,-1
1003,NS,2021/05/28 03:59:59+00,5497,348,80,4,53,-31,18,-3
1004,NU,2021/03/12 05:00:00+00,381,8,1,0,,,,
1005,NT,2021/08/27 03:59:59+00,395,67,1,1,,,,
1006,PE,2021/04/09 03:59:59+00,160,1,0,0,0,0,0,0
1007,NB,2021/07/23 03:59:59+00,2350,5,46,0,0,0,0,0
1008,NT,2021/05/28 03:59:59+00,127,0,0,0,,,,
1009,ON,2021/03/12 05:00:00+00,314891,8884,7127,81,676,33,282,2
1010,NU,2021/08/27 03:59:59+00,657,0,4,0,,,,
1011,QC,2021/04/09 03:59:59+00,323094,9418,10726,45,569,66,134,13
1012,NL,2021/07/23 03:59:59+00,1437,4,7,0,2,1,,
1013,NU,2021/05/28 03:59:59+00,648,11,4,0,,,,
1014,PE,2021/03/12 05:00:00+00,143,4,0,0,0,0,0,0
1015,ON,2021/08/27 03:59:59+00,562756,4655,9489,39,306,109,158,23
1016,SK,2021/04/09 03:59:59+00,35748,1705,453,16,206,13,43,6
1017,NS,2021/07/23 03:59:59+00,5882,12,93,1,0,-2,0,-1
1018,ON,2021/05/28 03:59:59+00,528453,9473,8711,132,1023,-242,645,-70
1019,QC,2021/03/12 05:00:00+00,296143,4968,10526,71,550,-67,106,-5
1020,PE,2021/08/27 03:59:59+00,230,9,0,0,0,0,0,0
1021,YT,2021/04/09 03:59:59+00,74,0,1,0,,,,
1022,NT,2021/07/23 03:59:59+00,128,0,0,0,,,,
1023,PE,2021/05/28 03:59:59+00,202,2,0,0,0,0,0,0
1024,SK,2021/03/12 05:00:00+00,30369,937,404,11,129,-9,27,7
1025,QC,2021/08/27 03:59:59+00,387230,3512,11285,6,126,49,36,15
1026,CA,2021/04/09 03:59:59+00,1045282,55774,23251,243,3008,532,908,162
1027,NU,2021/07/23 03:59:59+00,657,0,4,0,,,,
1028,QC,2021/05/28 03:59:59+00,369318,2924,11118,43,385,-52,91,-15
1029,YT,2021/03/12 05:00:00+00,72,0,1,0,,,,
1030,SK,2021/08/27 03:59:59+00,53262,1197,596,10,97,13,22,7
